,fragment_1,fragment_2,label
0,./dataset_splitted/java/98501.txt,./dataset_splitted/java/98502.txt,1
1,./dataset_splitted/java/74901.txt,./dataset_splitted/java/74902.txt,1
2,./dataset_splitted/java/99101.txt,./dataset_splitted/java/99102.txt,1
3,./dataset_splitted/java/76101.txt,./dataset_splitted/java/76102.txt,1
4,./dataset_splitted/java/77501.txt,./dataset_splitted/java/77502.txt,1
5,./dataset_splitted/java/94601.txt,./dataset_splitted/java/94602.txt,1
6,./dataset_splitted/java/95201.txt,./dataset_splitted/java/95202.txt,1
7,./dataset_splitted/java/23901.txt,./dataset_splitted/java/23902.txt,1
8,./dataset_splitted/java/601.txt,./dataset_splitted/java/602.txt,1
9,./dataset_splitted/java/20501.txt,./dataset_splitted/java/20502.txt,1
10,./dataset_splitted/java/56301.txt,./dataset_splitted/java/56302.txt,1
11,./dataset_splitted/java/57701.txt,./dataset_splitted/java/57702.txt,1
12,./dataset_splitted/java/21101.txt,./dataset_splitted/java/21102.txt,1
13,./dataset_splitted/java/58801.txt,./dataset_splitted/java/58802.txt,1
14,./dataset_splitted/java/35901.txt,./dataset_splitted/java/35902.txt,1
15,./dataset_splitted/java/37101.txt,./dataset_splitted/java/37102.txt,1
16,./dataset_splitted/java/41701.txt,./dataset_splitted/java/41702.txt,1
17,./dataset_splitted/java/40301.txt,./dataset_splitted/java/40302.txt,1
18,./dataset_splitted/java/36501.txt,./dataset_splitted/java/36502.txt,1
19,./dataset_splitted/java/1501.txt,./dataset_splitted/java/1502.txt,1
20,./dataset_splitted/java/2901.txt,./dataset_splitted/java/2902.txt,1
21,./dataset_splitted/java/62901.txt,./dataset_splitted/java/62902.txt,1
22,./dataset_splitted/java/61501.txt,./dataset_splitted/java/61502.txt,1
23,./dataset_splitted/java/17301.txt,./dataset_splitted/java/17302.txt,1
24,./dataset_splitted/java/16701.txt,./dataset_splitted/java/16702.txt,1
25,./dataset_splitted/java/60101.txt,./dataset_splitted/java/60102.txt,1
26,./dataset_splitted/java/83201.txt,./dataset_splitted/java/83202.txt,1
27,./dataset_splitted/java/19801.txt,./dataset_splitted/java/19802.txt,1
28,./dataset_splitted/java/82601.txt,./dataset_splitted/java/82602.txt,1
29,./dataset_splitted/java/19901.txt,./dataset_splitted/java/19902.txt,1
30,./dataset_splitted/java/82701.txt,./dataset_splitted/java/82702.txt,1
31,./dataset_splitted/java/83301.txt,./dataset_splitted/java/83302.txt,1
32,./dataset_splitted/java/16601.txt,./dataset_splitted/java/16602.txt,1
33,./dataset_splitted/java/60001.txt,./dataset_splitted/java/60002.txt,1
34,./dataset_splitted/java/61401.txt,./dataset_splitted/java/61402.txt,1
35,./dataset_splitted/java/17201.txt,./dataset_splitted/java/17202.txt,1
36,./dataset_splitted/java/62801.txt,./dataset_splitted/java/62802.txt,1
37,./dataset_splitted/java/2801.txt,./dataset_splitted/java/2802.txt,1
38,./dataset_splitted/java/1401.txt,./dataset_splitted/java/1402.txt,1
39,./dataset_splitted/java/40201.txt,./dataset_splitted/java/40202.txt,1
40,./dataset_splitted/java/36401.txt,./dataset_splitted/java/36402.txt,1
41,./dataset_splitted/java/37001.txt,./dataset_splitted/java/37002.txt,1
42,./dataset_splitted/java/41601.txt,./dataset_splitted/java/41602.txt,1
43,./dataset_splitted/java/35801.txt,./dataset_splitted/java/35802.txt,1
44,./dataset_splitted/java/58901.txt,./dataset_splitted/java/58902.txt,1
45,./dataset_splitted/java/57601.txt,./dataset_splitted/java/57602.txt,1
46,./dataset_splitted/java/21001.txt,./dataset_splitted/java/21002.txt,1
47,./dataset_splitted/java/20401.txt,./dataset_splitted/java/20402.txt,1
48,./dataset_splitted/java/56201.txt,./dataset_splitted/java/56202.txt,1
49,./dataset_splitted/java/701.txt,./dataset_splitted/java/702.txt,1
50,./dataset_splitted/java/23801.txt,./dataset_splitted/java/23802.txt,1
51,./dataset_splitted/java/95301.txt,./dataset_splitted/java/95302.txt,1
52,./dataset_splitted/java/94701.txt,./dataset_splitted/java/94702.txt,1
53,./dataset_splitted/java/77401.txt,./dataset_splitted/java/77402.txt,1
54,./dataset_splitted/java/76001.txt,./dataset_splitted/java/76002.txt,1
55,./dataset_splitted/java/99001.txt,./dataset_splitted/java/99002.txt,1
56,./dataset_splitted/java/74801.txt,./dataset_splitted/java/74802.txt,1
57,./dataset_splitted/java/98401.txt,./dataset_splitted/java/98402.txt,1
58,./dataset_splitted/java/99201.txt,./dataset_splitted/java/99202.txt,1
