1,"public static BufferedImage scale (BufferedImage imageToScale, int dWidth, int dHeight) {

    BufferedImage scaledImage = null;

    if (imageToScale != null) {

        scaledImage = new BufferedImage (dWidth, dHeight, imageToScale.getType ());

        Graphics2D graphics2D = scaledImage.createGraphics ();

        graphics2D.drawImage (imageToScale, 0, 0, dWidth, dHeight, null);

        graphics2D.dispose ();

    }

    return scaledImage;

}"
2,"public static BufferedImage scale (BufferedImage sbi, int imageType, int dWidth, int dHeight, double fWidth, double fHeight) {

    BufferedImage dbi = null;

    if (sbi != null) {

        dbi = new BufferedImage (dWidth, dHeight, imageType);

        Graphics2D g = dbi.createGraphics ();

        AffineTransform at = AffineTransform.getScaleInstance (fWidth, fHeight);

        g.drawRenderedImage (sbi, at);

    }

    return dbi;

}"
10001,"public void type (CharSequence chars, int ms) {

    ms = ms > 0 ? ms : 0;

    for (int i = 0, len = chars.length ();

    i < len; i ++) {

        char c = chars.charAt (i);

        AWTKeyStroke keyStroke = getKeyStroke (c);

        int keyCode = keyStroke.getKeyCode ();

        boolean shift = Character.isUpperCase (c) || keyStroke.getModifiers () == (SHIFT_DOWN_MASK + 1);

        if (shift) {

            robot.keyPress (KeyEvent.VK_SHIFT);

        }

        robot.keyPress (keyCode);

        robot.keyRelease (keyCode);

        if (shift) {

            robot.keyRelease (KeyEvent.VK_SHIFT);

        }

        if (ms > 0) {

            robot.delay (ms);

        }

    }

}"
10002,"public void type (char character) {

    switch (character) {

        case 'a' :

            doType (VK_A);

            break;

        case 'b' :

            doType (VK_B);

            break;

        case 'c' :

            doType (VK_C);

            break;

        case 'd' :

            doType (VK_D);

            break;

        case 'e' :

            doType (VK_E);

            break;

        case 'f' :

            doType (VK_F);

            break;

        case 'g' :

            doType (VK_G);

            break;

        case 'h' :

            doType (VK_H);

            break;

        case 'i' :

            doType (VK_I);

            break;

        case 'j' :

            doType (VK_J);

            break;

        case 'k' :

            doType (VK_K);

            break;

        case 'l' :

            doType (VK_L);

            break;

        case 'm' :

            doType (VK_M);

            break;

        case 'n' :

            doType (VK_N);

            break;

        case 'o' :

            doType (VK_O);

            break;

        case 'p' :

            doType (VK_P);

            break;

        case 'q' :

            doType (VK_Q);

            break;

        case 'r' :

            doType (VK_R);

            break;

        case 's' :

            doType (VK_S);

            break;

        case 't' :

            doType (VK_T);

            break;

        case 'u' :

            doType (VK_U);

            break;

        case 'v' :

            doType (VK_V);

            break;

        case 'w' :

            doType (VK_W);

            break;

        case 'x' :

            doType (VK_X);

            break;

        case 'y' :

            doType (VK_Y);

            break;

        case 'z' :

            doType (VK_Z);

            break;

        case 'A' :

            doType (VK_SHIFT, VK_A);

            break;

        case 'B' :

            doType (VK_SHIFT, VK_B);

            break;

        case 'C' :

            doType (VK_SHIFT, VK_C);

            break;

        case 'D' :

            doType (VK_SHIFT, VK_D);

            break;

        case 'E' :

            doType (VK_SHIFT, VK_E);

            break;

        case 'F' :

            doType (VK_SHIFT, VK_F);

            break;

        case 'G' :

            doType (VK_SHIFT, VK_G);

            break;

        case 'H' :

            doType (VK_SHIFT, VK_H);

            break;

        case 'I' :

            doType (VK_SHIFT, VK_I);

            break;

        case 'J' :

            doType (VK_SHIFT, VK_J);

            break;

        case 'K' :

            doType (VK_SHIFT, VK_K);

            break;

        case 'L' :

            doType (VK_SHIFT, VK_L);

            break;

        case 'M' :

            doType (VK_SHIFT, VK_M);

            break;

        case 'N' :

            doType (VK_SHIFT, VK_N);

            break;

        case 'O' :

            doType (VK_SHIFT, VK_O);

            break;

        case 'P' :

            doType (VK_SHIFT, VK_P);

            break;

        case 'Q' :

            doType (VK_SHIFT, VK_Q);

            break;

        case 'R' :

            doType (VK_SHIFT, VK_R);

            break;

        case 'S' :

            doType (VK_SHIFT, VK_S);

            break;

        case 'T' :

            doType (VK_SHIFT, VK_T);

            break;

        case 'U' :

            doType (VK_SHIFT, VK_U);

            break;

        case 'V' :

            doType (VK_SHIFT, VK_V);

            break;

        case 'W' :

            doType (VK_SHIFT, VK_W);

            break;

        case 'X' :

            doType (VK_SHIFT, VK_X);

            break;

        case 'Y' :

            doType (VK_SHIFT, VK_Y);

            break;

        case 'Z' :

            doType (VK_SHIFT, VK_Z);

            break;

        case '`' :

            doType (VK_BACK_QUOTE);

            break;

        case '0' :

            doType (VK_0);

            break;

        case '1' :

            doType (VK_1);

            break;

        case '2' :

            doType (VK_2);

            break;

        case '3' :

            doType (VK_3);

            break;

        case '4' :

            doType (VK_4);

            break;

        case '5' :

            doType (VK_5);

            break;

        case '6' :

            doType (VK_6);

            break;

        case '7' :

            doType (VK_7);

            break;

        case '8' :

            doType (VK_8);

            break;

        case '9' :

            doType (VK_9);

            break;

        case '-' :

            doType (VK_MINUS);

            break;

        case '=' :

            doType (VK_EQUALS);

            break;

        case '~' :

            doType (VK_BACK_QUOTE);

            break;

        case '!' :

            doType (VK_SHIFT, VK_EXCLAMATION_MARK);

            break;

        case '@' :

            doType (VK_SHIFT, VK_AT);

            break;

        case '#' :

            doType (VK_SHIFT, VK_NUMBER_SIGN);

            break;

        case '$' :

            doType (VK_SHIFT, VK_DOLLAR);

            break;

        case '%' :

            doType (VK_SHIFT, VK_5);

            break;

        case '^' :

            doType (VK_SHIFT, VK_CIRCUMFLEX);

            break;

        case '&' :

            doType (VK_SHIFT, VK_AMPERSAND);

            break;

        case '*' :

            doType (VK_SHIFT, VK_ASTERISK);

            break;

        case '(' :

            doType (VK_LEFT_PARENTHESIS);

            break;

        case ')' :

            doType (VK_RIGHT_PARENTHESIS);

            break;

        case '_' :

            doType (VK_SHIFT, VK_UNDERSCORE);

            break;

        case '+' :

            doType (VK_SHIFT, VK_PLUS);

            break;

        case '\t' :

            doType (VK_TAB);

            break;

        case '\n' :

            doType (VK_ENTER);

            break;

        case '[' :

            doType (VK_OPEN_BRACKET);

            break;

        case ']' :

            doType (VK_CLOSE_BRACKET);

            break;

        case '\\' :

            doType (VK_BACK_SLASH);

            break;

        case '{' :

            doType (VK_SHIFT, VK_OPEN_BRACKET);

            break;

        case '}' :

            doType (VK_SHIFT, VK_CLOSE_BRACKET);

            break;

        case '|' :

            doType (VK_SHIFT, VK_BACK_SLASH);

            break;

        case ';' :

            doType (VK_SEMICOLON);

            break;

        case ':' :

            doType (VK_SHIFT, VK_COLON);

            break;

        case '\'' :

            doType (VK_QUOTE);

            break;

        case '""' :

            doType (VK_SHIFT, VK_QUOTEDBL);

            break;

        case ',' :

            doType (VK_COMMA);

            break;

        case '<' :

            doType (VK_SHIFT, VK_COMMA);

            break;

        case '.' :

            doType (VK_PERIOD);

            break;

        case '>' :

            doType (VK_SHIFT, VK_PERIOD);

            break;

        case '/' :

            doType (VK_SLASH);

            break;

        case '?' :

            doType (VK_SHIFT, VK_SLASH);

            break;

        case ' ' :

            doType (VK_SPACE);

            break;

        case '\b' :

            doType (VK_BACK_SPACE);

            break;

        default :

            throw new IllegalArgumentException (""Cannot type character "" + character);

    }

}"
1001,"public void replaceText (int start, int end, String text) {

    if (! characters.equals ("""")) {

        if (validateCh (text)) {

            text = check (text);

            super.replaceText (start, end, text);

            if (max > 0) verifyLengh ();

        }

    } else {

        text = check (text);

        super.replaceText (start, end, text);

        if (max > 0) verifyLengh ();

    }

}"
1002,"public void replaceText (int start, int end, String text) {

    String oldValue = getText ();

    if (! text.matches (""[A-Za-z]"") && ! text.matches (""[\\\\!\""#$%&()*+,./:;<=>?@\\[\\]^_{|}~]+"")) {

        super.replaceText (start, end, text);

    }

    if (getText ().length () > 2) {

        setText (oldValue);

    }

}"
101,"public static void main (String [] args) {

    String text = ""the quick brown fox jumps fox fox over the lazy dog brown"";

    String [] keys = text.split ("" "");

    String [] uniqueKeys;

    int count = 0;

    System.out.println (text);

    uniqueKeys = getUniqueKeys (keys);

    for (String key : uniqueKeys) {

        if (null == key) {

            break;

        }

        for (String s : keys) {

            if (key.equals (s)) {

                count ++;

            }

        }

        System.out.println (""Count of ["" + key + ""] is : "" + count);

        count = 0;

    }

}"
10101,"public void type (CharSequence chars, int ms) {

    ms = ms > 0 ? ms : 0;

    for (int i = 0, len = chars.length ();

    i < len; i ++) {

        char c = chars.charAt (i);

        AWTKeyStroke keyStroke = getKeyStroke (c);

        int keyCode = keyStroke.getKeyCode ();

        boolean shift = Character.isUpperCase (c) || keyStroke.getModifiers () == (SHIFT_DOWN_MASK + 1);

        if (shift) {

            robot.keyPress (KeyEvent.VK_SHIFT);

        }

        robot.keyPress (keyCode);

        robot.keyRelease (keyCode);

        if (shift) {

            robot.keyRelease (KeyEvent.VK_SHIFT);

        }

        if (ms > 0) {

            robot.delay (ms);

        }

    }

}"
10102,"public void type (String text) {

    char c;

    for (int ii = 0;

    ii < text.length (); ii ++) {

        c = text.charAt (ii);

        if (c <= 31 || c == 129) {

            pressControlKey (c);

        } else {

            typeAsciiCode (c);

        }

    }

}"
102,"public static void main (String [] args) {

    String s = ""this is a this is this a this yes this is a this what it may be i do not care about this"";

    String a [] = s.split ("" "");

    Map < String, Integer > words = new HashMap < > ();

    for (String str : a) {

        if (words.containsKey (str)) {

            words.put (str, 1 + words.get (str));

        } else {

            words.put (str, 1);

        }

    }

    System.out.println (words);

}"
